,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
62,-22.994048137450793,369.0705178177036,-20.71961033105013,-144.16184704836064,15.463185352596504,405.639663776389,-148.14834242489147,-595.3379613116423,103.89169684308938,-233.01087919020244
63,-834.4373918432395,3202.177547191901,-751.9332689790807,-4506.930501443953,-26.615741669963576,9583.0974046977,-7890.254747187986,-24828.994581665014,-1651.841243175363,14627.20130856065
64,-148.6190481374508,234.0705178177036,2.2803896689498675,-669.7243470483606,-2.286814647403496,1815.639663776389,-724.1483424248914,-4031.337961311642,192.0166968430894,4558.989120809798
65,654.9576203170034,-2673.165998119519,670.421625378573,3291.5126832780825,10.981353311316465,-6762.320911565795,5154.955487624155,18060.164289352393,802.5014556173496,-8756.553091159338
66,20.380951862549207,155.0705178177036,59.405389668949866,208.04127795163936,-2.036814647403496,-476.360336223611,598.6016575751086,2268.662038688358,-200.4833031569106,-621.0108791902024
67,-640.3888376755981,2506.511563102205,-542.9746117658123,-3289.7096090155,68.94302923655225,6792.6574758371335,-4305.760332843806,-16828.617223423524,308.8738780821926,11622.031362268814
68,151.7559518625492,-335.9294821822964,64.90538966894987,542.9319029516394,17.463185352596504,-1192.360336223611,1346.8516575751084,3564.662038688358,301.8916968430894,-1461.0108791902026
69,1178.5671753239837,-4543.184689836626,952.6342983428847,5850.855468357791,-72.7345457174594,-12942.460876575327,9038.597408231177,32033.939730025675,535.031195813906,-19792.42793205825
70,173.2559518625492,-579.9294821822964,122.28038966894987,735.5256529516394,45.838185352596504,-1312.360336223611,450.85165757510856,3064.662038688358,769.8916968430893,-845.0108791902024
71,-46.15506908162414,732.0967128578072,-125.08063422887714,-1425.3345259580296,427.8050914789253,2245.60676687131,-3529.7114891358506,-5665.327275416767,2487.137446636031,3357.5550532308253
72,224.8809518625492,-517.9294821822964,120.15538966894987,1226.1975279516394,8.338185352596504,-2088.360336223611,1347.1016575751084,5864.662038688358,743.5166968430893,-2637.0108791902026
73,94.2024253753492,-329.4770841985942,-123.19486008639568,-663.358627637906,389.31019186859396,-658.4098427459445,-667.2049998389257,-5190.55921717209,3789.518875229743,5239.961707496639
74,1520.911280099231,-5819.266124390529,1469.5497191067661,9029.287653512254,-482.47980381348395,-17288.308202881515,13469.491246492993,53306.39231996618,-2802.799629426105,-34746.66489829103
75,83.63095186254921,-588.9294821822964,157.53038966894988,751.8225279516394,-184.6618146474035,-1641.360336223611,2120.1016575751087,5668.662038688358,-1418.1083031569106,-3953.0108791902026
76,432.13601551654506,-1209.561748485626,330.68634160159127,2116.6272395370147,43.800444539483486,-3906.4135440771456,2713.5880971896304,10608.954193160986,736.3566431213944,-6531.011161125037
77,-16.244048137450793,220.0705178177036,11.905389668949867,136.91627795163936,-48.536814647403496,272.639663776389,107.60165757510853,568.6620386883577,-439.2333031569106,-745.0108791902024
78,-219.05635716888386,668.4601049748002,-174.58206440948985,-1358.9621589274138,25.730446540228918,1816.9180796309574,-423.9589113533923,-5465.630241467173,-133.7841098878501,3890.956024804346
79,18.505951862549207,80.07051781770362,-19.09461033105013,66.01002795163936,13.088185352596504,-185.360336223611,-69.89834242489147,-903.3379613116423,296.5166968430894,-29.010879190202456
80,-703.0443150849239,2480.2130122621365,-596.4088813306053,-3912.291585940128,-39.82778464590984,7316.147460704328,-3926.8347244393262,-19572.06374304179,-835.2341758139985,11703.498626048307
81,66.00595186254921,-271.9294821822964,38.030389668949866,291.04127795163936,-18.786814647403496,-525.3603362236111,478.85165757510856,2424.662038688358,-61.48330315691062,-689.0108791902024
82,457.72421855653926,-1257.9067197664285,328.89154749608673,1467.7510519416685,223.45869905029275,-4341.985649286596,3080.665837907603,8344.035762718597,2267.7973912417774,-4932.609872530256
83,-958.6400390097896,3807.6418750084194,-782.465996514907,-4504.022127962301,-47.39303938887427,10289.983425878914,-7013.74809093544,-25632.504714760948,-297.5912682705764,16349.389266096086
84,-106.11904813745079,520.0705178177036,-49.094610331050134,-444.80247204836064,37.213185352596504,967.6396637763889,-632.3983424248914,-3507.337961311642,25.141696843089377,1650.9891208097974
85,36.132489587298124,418.1771401485043,-35.51662109335452,-130.8141872677815,215.7714084942226,282.6435091454666,-442.8340810036431,-2841.171059612972,2049.5522644815883,2474.5153334084853
86,46.25595186254921,-74.92948218229638,56.030389668949866,178.47877795163936,38.213185352596504,-433.360336223611,59.60165757510853,540.6620386883577,394.6416968430894,-949.0108791902024
87,-821.4576386689546,2478.6495672669002,-858.7516346256265,-5573.152859151935,342.47768477946346,9193.668683841117,-8416.620159801036,-32283.224269637212,2274.628875971564,22108.31721834588
88,-30.244048137450793,133.0705178177036,-18.46961033105013,-304.95872204836064,-18.411814647403496,481.639663776389,-164.64834242489147,-759.3379613116423,-559.4833031569107,626.9891208097976
89,942.5378834015291,-3708.3760633478887,862.1097828031369,5153.18844037292,-149.87067803994177,-10809.491599952167,8097.471718017017,29775.522815359403,-758.8029949117586,-18551.21813012637
