,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Percentage eengezinswoning,0.05753779360682804,0.04452235180472453,-0.02085473883896487,0.047902985766826785,0.07320448878929152,-0.04451100845733733,0.11275349983838685,-0.019384624297706307,-0.029775696032067155,0.0045355700980186375,-0.2044576127632219,-0.0641823459184708,-0.020128731038962795,0.13249578091851705,0.04190091283103766,0.0913124029272678,-0.020514905082259286,0.006905516040165596,0.11183504682407558,0.07361911970024847,-0.06864533205367768,0.08024456493540076,-0.10785141093132689,0.028672469186888806,0.0346332125690943,-0.03271937580828234,0.0031276286405554424,-0.03527488781028321,-0.073406954175032
Percentage tussenwoning (eengezins),-0.06517967176031475,-0.04165314451559778,0.03156545687557195,-0.04435894124145745,-0.020540511176001416,0.04093696918458918,0.06723196954441187,-0.016828919468732387,-0.008778181172440185,0.1405565764036745,0.0243164030245137,0.029635921239641053,-0.051807103980981255,0.11974318071896446,-0.010361078624640516,0.09310052478388882,0.0392265747878024,-0.05811109391607652,0.08817497036313464,0.16034643400142135,-0.1288643657142109,0.06651778714640827,0.024903039979229352,0.04653707422121752,0.1431499788494085,-0.09664508700908322,0.14618964119738484,-0.05615028784952266,0.01094705416038202
Percentage hoekwoning (eengezins),-0.063554406255487,-0.03299272920015293,0.02911725469569904,-0.03863020653782503,0.013454420035371608,0.01895177912709168,0.10720629812188884,-0.011062128796337032,-0.04383313078834399,0.1210389591627385,0.0012528996958423423,0.02385249081762261,-0.13251207094649095,0.09396733239223036,-0.031557635865233594,0.15275915241593468,0.04293207153080796,-0.03941258671424577,0.10567738791919863,0.14832077675006045,-0.06599014302481132,0.11676043697221804,-0.06188740983491617,0.009841908135061216,0.09422390906323933,-0.07747986327125811,0.09856361325328444,-0.009431334475522257,-0.01975354052800706
Percentage twee-onder-één-kap-woning (ee,-0.023178773635066086,0.01249378431706943,-0.0031509258672367388,0.0012583156120042278,0.08961342067543182,-0.06747667731103163,0.11248408937858961,0.041534684626663175,-0.0208320373806273,-0.04814343313841661,-0.08801244754250839,-0.017494291663554117,-0.10114985919111398,0.03893006109366478,-0.033582437472093066,0.14620881464090288,0.051724619695977754,-0.032080377793144974,-0.0013496898378926485,0.023593580899769987,-0.002253661188563718,0.08670623942868161,-0.15034032299073352,-0.18353995642134854,-0.0226078860583685,0.046650792586237104,0.057756547554763726,0.04169900518524356,-0.12698833706710563
Percentage vrijstaande woning (eengezins,0.08588362659488073,0.05044797964742767,-0.032870494815554846,0.06283014636483734,0.02010065468440238,-0.02140951649954525,-0.04066490992007456,-0.02892646124561839,0.009177972596684323,-0.07407924197374001,-0.10347781762136782,-0.05135877777560365,0.07812161492361107,-0.009749910258878938,0.050084557905191805,-0.08747971751105689,-0.057553791721081465,0.045532371048496875,-0.01933208748448091,-0.08131012128013809,0.033295321683209984,-0.04340191911457123,-0.001831268147254329,0.04954158027479802,-0.06302177825186199,0.022600309716137735,-0.11917196354704097,-0.005526227087069532,0.02027445739285141
Percentage meergezinswoning,-0.057508583135022634,-0.04453038156832255,0.02085512290176453,-0.04790909479934885,-0.07323483976548072,0.04448634795641049,-0.11276401969733102,0.019348912647841138,0.02974196595160158,-0.004539644156827844,0.20448862051335126,0.0641293307418753,0.020131125184470272,-0.13251906195385085,-0.04173883640112971,-0.09135134885641585,0.020580795547172893,-0.006987542814787574,-0.11181131900705206,-0.07360521715805274,0.06860536947661464,-0.08022067447544871,0.10792247809335298,-0.02843921524593624,-0.03488092730904613,0.03248982680005618,-0.003138661561207422,0.03488492122319805,0.07363257520089937
Onbewoonde woningen,0.02205226463918508,0.005503875466817511,-0.004773106076519193,-0.007619353751270366,-0.024136722215773922,0.05499612993435449,-0.05509333242707829,0.06435133740300097,0.11319722496099965,-0.057275054970303635,0.031851251543440214,0.015203262064192638,-0.047307064942138044,-0.1699041491938445,-0.045373077218683264,-0.09832484554990456,-0.07252254930407169,0.08792314325819821,-0.11648053549354734,-0.04389860223414189,0.005057191605107843,0.0562557104146639,0.004256917570708137,-0.11813687772374015,-0.12924247048429582,-0.23767286085623043,-0.01641645957046529,-0.01676776249480011,0.10495940986619895
Koopwoningen,0.07020749834362684,0.04813086957478257,-0.028123575194557913,0.054854849876886005,0.05782477716795905,-0.04318143950164029,0.05439501670027834,-0.0038383448104318436,0.022929530032616514,-0.08576768934707117,-0.19200443474621484,-0.10277421040951548,0.1258857280744706,0.11537608667536539,0.05361468006472129,-0.05836281435994955,-0.02595830419491324,-0.009660681108908222,0.07377866463863188,-0.049069142955393906,-0.05869394674143264,-0.025680878031509206,0.0006295569357885424,0.01006143813995742,0.04535988971275068,-0.06997965755976412,0.05428277095499887,-0.02610533977783649,0.009047849400967728
Huurwoningen totaal,-0.07034323451959189,-0.0481115271580514,0.028158112902760695,-0.05475597564587618,-0.05780503844873367,0.042586249414040524,-0.05456943312228578,0.00291079723475804,-0.024693703298373417,0.08676984907321858,0.19185987349638756,0.10231993941087,-0.12581522472476184,-0.11486294292483766,-0.05269729644501967,0.058343896631315645,0.02657814971911134,0.008664191475961123,-0.07203335715457679,0.048109642309186476,0.059560120104235476,0.02512454504937981,1.4461784927340275e-05,-0.008509758130617377,-0.045049862700253705,0.07334431762517013,-0.053692787752508776,0.025542076249361036,-0.010101592644231544
In bezit woningcorporatie,-0.06699627421868869,-0.04107406017684445,0.028598509133017588,-0.03314855727412995,-0.018478857023263285,0.028606559135495212,0.0391719406604538,-0.02461715745249377,-0.06462035182622161,0.14381213543802343,0.10730525645318324,0.059814825996427644,-0.20216383483664632,-0.02875989704009757,-0.07499536518854437,0.14914382699645928,0.027308414340643055,0.011095678506677531,0.025358931822610037,0.09346081770171463,0.061118590374409754,0.03980266813026203,0.010438157290474008,0.031710507981129905,-0.02118134855483961,0.10793021097366974,-0.1178021468490776,0.03060674661687415,-0.043768285279723186
In bezit overige verhuurders,-0.022522277581324524,-0.02113849383650948,0.0060298668316887015,-0.04261621719492996,-0.06936416220119025,0.031595811933823305,-0.15272091630243018,0.03679531202732621,0.054726154825636454,-0.06387052689068931,0.16789990184934575,0.08592741335990553,0.0810650412940163,-0.15093571766375397,0.019319741409374435,-0.12201954190379714,0.006638034388199318,-0.0044738336542546765,-0.16838465818838982,-0.05633452801987238,0.009088764877053599,-0.01443239123707002,-0.015269729619040483,-0.06695713366613743,-0.046445035921791444,-0.035769105212574676,0.07993777180140424,0.0005693162369005891,0.052923740274855
Bouwjaar meer dan tien jaar geleden,0.0077444513353137154,-0.0032433795924068335,-0.004273443992374251,0.010818900607974552,-0.005909721470615417,-0.04012129299086581,-0.03412270718708431,-0.05104081761194913,-0.054967323291094716,-0.06870001536219338,-0.12220455139442815,-0.0659889571832117,-0.2534356307562943,0.07097186396650694,-0.13158301421141097,-0.04500121027517092,-0.1526873749293653,0.1320028088870618,0.23852574640594834,-0.21418820088403392,0.22491143568914038,-0.19331525193683158,0.07418303934992838,0.21783939448941714,-0.05245504108662873,-0.04257247792478251,0.08914964465376868,0.026992114432747356,0.0008807205756297019
Bouwjaar afgelopen tien jaar,-0.007702403081377357,0.003148366059406281,0.0042762275344209065,-0.01080685078129013,0.005911200404756779,0.040121261111342114,0.034006062362794236,0.05109683360321988,0.054973063289293016,0.06878232930361383,0.12216128725153616,0.06634690034151976,0.2534914512417079,-0.07080858243211362,0.13171996938992753,0.04492619746089201,0.1524883146559023,-0.13205295268262565,-0.23852024198166416,0.21407293624451226,-0.2249640491451714,0.19327692740700483,-0.07424616663653243,-0.2177695393373893,0.05231595756525168,0.04252338878895859,-0.08900035218545008,-0.027210414017832012,-0.0008843305024691586
Personenauto's totaal,-0.017645028605610458,0.01239947274570833,0.17527367064830401,0.029294667543719403,-0.008144211514177851,-0.004580776994205786,0.0024792690144464324,-0.0002567482443645164,0.0008409285057852734,-0.007294368352297875,-0.018669893391181892,-0.010378253828741208,0.0021012190262415104,0.004735011127596182,0.0040694834569699745,0.0036354780117019794,-0.00601765942508266,0.0008622571650556226,0.005005321604269373,-0.008172803180825606,0.006227660152210823,0.02886498633679989,-0.006071408518229248,0.004070785064927448,0.005613906409836019,0.003593741904376216,-0.008804650792541106,0.0006341448721322486,-0.008756747874263887
Personenauto's; brandstof benzine,-0.018083351200936876,0.012067805775418591,0.17597080266321286,0.029014213062665845,-0.008589517505692508,-0.004579669229407968,0.0024253537064901453,-0.0006662109677759595,0.00012156849537228165,-0.006498781461976176,-0.01723286104505902,-0.009962195213789918,-0.00018388174686539263,0.005047298243112805,0.004105135512961473,0.0027094533721329214,-0.004410109153118795,0.00014232887320189954,0.005646687833896436,-0.005678063727957464,0.005733584300792189,0.02404985180919107,-0.006482785564420224,0.002552367282810134,0.005667123645047647,0.0027119646016682485,-0.007954546244100205,0.0009593237260086557,-0.008200546812534022
