,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
Oppervlakte_Water_VSK_m2_BK,0.05150217112754237,0.176799793643472,0.019004845534571043,0.08387625389825783,0.04344607615192199,-0.03680383377703769,0.7668924604726831,-0.025490907095085537,0.17924841493258886,0.021520208412840885
Oppervlakte_Openbaar_m2_BK,0.03389300177909136,0.255740317561425,0.039784166407737194,0.1049801088462775,0.05503552181016971,0.0008947205962242799,0.8665085506663329,-0.10596708959752714,0.011753930278385054,0.014923225688193728
Oppervlakte_NietOpenbaar_m2_BK,0.033549499851077046,0.06942056354450703,0.029140678798420055,0.10831703770649824,0.1010942237572812,-0.03897461188237406,0.8547944022450591,-0.020859023465333786,-0.04717264858756172,0.0284225635151276
Groen_PercLand_BK,0.06037684520662198,-0.24119114337583822,-0.014484880831008668,0.21352345951959012,-0.12631960892603897,0.16059478546790856,-0.06315915357313373,-0.13543849649527803,0.1965588677979935,0.12053703510828352
Groen_Openbaar_PercOpenbaar_BK,0.017576871690344237,-0.3309420627944001,0.002977115069086605,0.13751338638874425,-0.07965194083006769,0.10377262055942525,-0.06580782431639026,-0.09952572744620686,0.07811741212878624,-0.015284930966274356
Steen_PercLand_BK,-0.07943703350149497,0.45617627977650105,0.04033494016186694,-0.14602457794250148,0.1515357930826116,-0.23818788979070493,0.13032118218978705,-0.07071977156907161,-0.011157121749812786,-0.07065244542585665
Steen_Openbaar_PercOpenbaar_BK,-0.06580050239599376,0.5840681604270165,0.016268407138786335,-0.022034998410936174,0.23937807099901803,-0.2018219514147978,0.04915822040753183,0.10101236918438229,-0.058948486242235795,-0.009287988427880763
Water_VSK_PercTotaal_BK,0.049960255334283325,0.03622504942496461,-0.017930362819340587,0.02982193064131341,-0.047174666439389654,0.03353795314233711,0.049280809257004024,0.025215623945858832,0.2224729134685191,-0.0452772255710756
Gras_PercLand_BK,0.07166204951952476,-0.1356230675872761,-0.028297443225698434,-0.06449920364240855,-0.04380444551714063,0.13318701623561174,0.008854552296170971,-0.15828519188724005,0.2577594201754593,0.13237075833135695
Struiken_PercLand_BK,0.012354834348109144,0.0022124115296838667,-0.004507800992312788,0.1722258207660384,-0.08009767110201582,0.03721027867760494,-0.0016928510723672498,-0.08163572526993991,-0.0032277855192976144,0.06083988860680802
Onverhard_PercLand_BK,0.056123744336816966,-0.4226405615135196,-0.03321551381041183,0.2456738466859703,-0.15313714024951613,0.08837878638586494,-0.1220526327256226,0.011556448534524817,-0.12092753172233531,0.04453181581974169
Halfverhard_PercLand_BK,0.05813722433427152,-0.004018446996850299,-0.035842125876193114,-0.008368555963701245,0.04696148518752659,0.11585470356518078,0.0550812552768402,0.004029614652423354,0.049102364922881996,0.022683225373609575
Verhard_PercLand_BK,-0.07955838933112488,0.4560268147671899,0.040391439071845475,-0.14573386819554354,0.15146381463044437,-0.23815951008236586,0.12997170606595418,-0.07056546241268849,-0.011940175076951437,-0.07077292120561818
