Buurtcode,score,thema,methode,thema_kort
BU00740106,0.41801201634899665,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740107,0.1535541609091115,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740108,0.09100701185732779,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740109,0.22541733290072546,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740110,0.16220852392069657,Woningmarkt_Eigendom,entropy,Woningmarkt
WK007402,0.14089536430342844,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740201,0.1436141069204724,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740202,0.12610671587343797,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740203,0.14603577926485875,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740204,0.14160675931014857,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740205,0.12741897596541024,Woningmarkt_Eigendom,entropy,Woningmarkt
WK007403,0.12799210537738176,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740301,0.12365925697869076,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740302,0.12970019703142185,Woningmarkt_Eigendom,entropy,Woningmarkt
WK007404,0.1846479704020155,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740401,0.2421280584570377,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740402,0.11904423526488139,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740403,0.13846909448588468,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740404,0.21095163621394097,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740405,0.14114645792184544,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740406,0.1896252376887923,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740407,0.12760114434227318,Woningmarkt_Eigendom,entropy,Woningmarkt
WK007406,0.13157643914402184,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740601,0.13157643914402184,Woningmarkt_Eigendom,entropy,Woningmarkt
WK007407,0.12492201784206755,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740701,0.11362094776101479,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740702,0.14066439917696497,Woningmarkt_Eigendom,entropy,Woningmarkt
WK007409,0.20378443782833677,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740901,0.2533429247958046,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740902,0.07668414757479067,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740903,0.1601806099770788,Woningmarkt_Eigendom,entropy,Woningmarkt
GM0080,0.31944846169739655,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008010,0.5892088693208464,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801001,0.5449363429328972,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801002,0.5391038169198665,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801003,0.5492729811303081,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801004,0.5389860845866141,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801005,0.6452360488849711,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801006,0.6590325981407992,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801007,0.5789675360058288,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801008,0.6167808223388151,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008011,0.39093094189194505,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801101,0.5235434339027862,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801102,0.29953105908013944,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801103,0.27089831526010005,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801104,0.7207872791044803,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801105,0.30011962319807645,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801106,0.21146547611012353,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801107,0.5805248174378537,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801108,0.3360575667211642,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00801109,0.5285052408157881,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008020,0.3590035635880016,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00802001,0.4321000283691256,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00802002,0.34979329389163805,Woningmarkt_Eigendom,entropy,Woningmarkt
